OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0004E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0019E,DP05_0020E,DP05_0021E,DP05_0022E,DP05_0023E,DP05_0024E,DP05_0025E,DP05_0026E,DP05_0027E,DP05_0028E,DP05_0029E,DP05_0030E,DP05_0031E,DP05_0032E,DP05_0033E,DP05_0034E,DP05_0035E,DP05_0036E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0040E,DP05_0041E,DP05_0042E,DP05_0043E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0047E,DP05_0048E,DP05_0049E,DP05_0050E,DP05_0051E,DP05_0052E,DP05_0053E,DP05_0054E,DP05_0055E,DP05_0056E,DP05_0057E,DP05_0058E,DP05_0059E,DP05_0060E,DP05_0061E,DP05_0062E,DP05_0063E,DP05_0064E,DP05_0065E,DP05_0066E,DP05_0067E,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0075E,DP05_0076E,DP05_0077E,DP05_0078E,DP05_0079E,DP05_0080E,DP05_0081E,DP05_0082E,DP05_0083E,DP05_0084E,DP05_0085E,DP05_0086E,DP05_0087E,DP05_0088E,DP05_0089E,DP05_0090E,DP05_0091E,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
168,99.05,431558,0,11001009905,"Census Tract 99.05; District of Columbia; District of Columbia",3461,1607,1854,86.7,322,199,254,318,108,420,632,518,267,113,155,111,44,37,1078,2619,2383,2368,381,310,2383,1084,1299,83.4,310,83,227,36.6,3461,3411,50,3411,93,3318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,15,0,3461,118,3368,15,0,10,0,3461,0,0,0,0,0,3461,93,3318,0,0,0,0,50,0,50,1471,2352,1069,1283,ACS_Demographic_DC_CensusTract_173,,{5C0FF41B-1D89-444C-B3F1-5C35FA24EB28},009905,0,0
169,99.06,252684,0,11001009906,"Census Tract 99.06; District of Columbia; District of Columbia",1622,555,1067,52,165,68,90,66,69,226,249,149,99,96,92,238,15,38.1,349,1299,1273,1223,414,345,1273,478,795,60.1,345,153,192,79.7,1622,1603,19,1603,69,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,7,0,1622,81,1553,19,0,0,0,1622,40,0,0,22,18,1582,69,1494,0,0,0,0,19,0,19,844,1261,478,783,ACS_Demographic_DC_CensusTract_174,,{CD9DE94A-EAA9-4D93-8984-5CACE992E869},009906,0,0
170,21.02,725975,0,11001002102,"Census Tract 21.02; District of Columbia; District of Columbia",4768,2258,2510,90,366,177,225,173,126,919,875,653,256,347,386,211,54,38.3,894,3992,3874,3812,852,651,3874,1815,2059,88.1,651,312,339,92,4768,4308,460,4308,664,2790,18,0,0,0,0,92,63,19,0,0,10,0,0,0,0,0,0,0,744,460,139,0,0,76,36,20,4768,986,3174,143,160,49,892,4768,1017,27,6,14,970,3751,614,2749,18,92,0,15,263,0,263,2537,3394,1646,1748,ACS_Demographic_DC_CensusTract_175,,{58E1920F-8C24-448F-85D4-1D5E9CC333E8},002102,0,0
171,22.01,415173,0,11001002201,"Census Tract 22.01; District of Columbia; District of Columbia",3465,1876,1589,118.1,228,283,292,73,278,593,523,451,154,163,183,187,57,34.8,862,2662,2603,2578,573,427,2603,1266,1337,94.7,427,207,220,94.1,3465,3224,241,3224,1363,1264,11,0,0,0,0,76,35,0,0,0,20,0,21,0,0,0,0,0,510,241,166,0,0,0,43,0,3465,1530,1495,65,97,0,521,3465,854,27,21,0,806,2611,1010,1264,11,76,0,10,240,10,230,1096,2352,1156,1196,ACS_Demographic_DC_CensusTract_176,,{8A3DB4BB-D96E-4356-B99C-55FD531270E4},002201,0,0
172,22.02,698895,566,11001002202,"Census Tract 22.02; District of Columbia; District of Columbia",3232,1531,1701,90,451,280,45,111,419,484,431,304,133,234,280,60,0,32.2,855,2430,2377,2249,488,340,2377,1115,1262,88.4,340,147,193,76.2,3232,3017,215,3017,1089,1732,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,181,215,31,19,8,81,0,50,3232,1254,1813,55,13,0,338,3232,549,63,0,0,486,2683,868,1732,10,5,0,16,52,13,39,1471,2221,1034,1187,ACS_Demographic_DC_CensusTract_177,,{AC24269E-5FA3-48D8-BFD9-C01B6747E258},002202,0,0
173,23.01,407679,0,11001002301,"Census Tract 23.01; District of Columbia; District of Columbia",3233,1559,1674,93.1,294,191,157,148,211,445,647,391,221,178,238,81,31,37.4,731,2502,2502,2406,458,350,2502,1117,1385,80.6,350,115,235,48.9,3233,2991,242,2991,830,1778,13,0,0,0,0,66,60,0,0,0,0,0,6,0,0,0,0,0,304,242,34,0,15,173,0,9,3233,1052,1821,13,92,0,497,3233,586,143,17,0,426,2647,734,1743,0,66,0,15,89,40,49,1366,2220,1007,1213,ACS_Demographic_DC_CensusTract_178,,{A776954B-6911-4F42-AD33-144A55A274D3},002301,0,0
174,64,691410,243648,11001006400,"Census Tract 64; District of Columbia; District of Columbia",2662,1294,1368,94.6,238,31,125,187,131,770,377,221,114,134,256,28,50,32.5,472,2226,2190,2062,427,334,2190,1042,1148,90.8,334,140,194,72.2,2662,2597,65,2597,633,1902,0,0,0,0,0,22,0,11,0,0,11,0,0,0,0,0,0,0,40,65,9,0,14,20,0,0,2662,689,1933,13,36,9,60,2662,45,11,0,20,14,2617,633,1902,0,22,0,15,45,0,45,1673,2172,1024,1148,ACS_Demographic_DC_CensusTract_179,,{820DDA2D-CF1B-4998-9A9F-6A4D0C5D25D6},006400,0,0
175,65,509297,0,11001006500,"Census Tract 65; District of Columbia; District of Columbia",2732,1113,1619,68.7,166,90,118,157,48,670,484,292,153,138,327,42,47,36.6,496,2309,2236,2191,485,416,2236,968,1268,76.3,416,163,253,64.4,2732,2650,82,2650,1940,300,0,0,0,0,0,81,0,22,1,0,9,37,12,0,0,0,0,0,329,82,46,11,10,0,0,0,2732,2022,361,11,106,0,329,2732,394,13,18,0,363,2338,1869,300,0,81,0,6,82,0,82,1585,2094,944,1150,ACS_Demographic_DC_CensusTract_180,,{5557B6BD-409E-4155-9948-38D58DEFD7AA},006500,0,0
176,66,285156,0,11001006600,"Census Tract 66; District of Columbia; District of Columbia",2174,1152,1022,112.7,165,62,68,30,40,433,704,153,56,48,192,197,26,38.7,306,1879,1868,1845,445,415,1868,918,950,96.6,415,201,214,93.9,2174,1922,252,1922,1723,130,0,0,0,0,0,31,0,18,9,0,0,0,4,0,0,0,0,0,38,252,0,0,49,62,0,0,2174,1975,271,0,80,0,241,2174,115,40,0,0,75,2059,1708,130,0,31,0,0,190,0,190,1251,1748,880,868,ACS_Demographic_DC_CensusTract_181,,{6F82E281-A639-45A4-AFB5-A8DFC7564258},006600,0,0
177,67,428358,0,11001006700,"Census Tract 67; District of Columbia; District of Columbia",4058,1958,2100,93.2,269,146,127,96,91,790,726,454,310,134,567,268,80,39.7,610,3496,3448,3420,972,915,3448,1697,1751,96.9,915,414,501,82.6,4058,3970,88,3970,3406,375,20,0,0,0,0,145,51,14,30,0,17,20,13,0,0,0,0,0,24,88,0,0,23,34,0,0,4058,3494,394,39,168,12,77,4058,183,4,13,32,134,3875,3320,375,0,145,0,0,35,0,35,2093,3425,1680,1745,ACS_Demographic_DC_CensusTract_182,,{E1382F52-8DFF-4E58-BD26-A91019FF537A},006700,0,0
